ID,Begin,End,Capital,Lat,Lon
BRA_1822,19600421,20261231,Brasilia,-15.78,-47.87
BRA_1822,18220907,19600421,Rio de Janeiro,-22.91,-43.21
BRA_1815,18210426,18220907,Lisbon,38.77,-9.15
BRA_1815,18151216,18210426,Rio de Janeiro,-22.91,-43.21
BRA_1549_POR,17630101,18151216,Rio de Janeiro,-22.91,-43.21
BRA_1549_POR,15490101,17630101,Salvador,-12.97,-38.48
URU_1825,18250825,20261231,Montevideo,-34.88,-56.17
URU_1817_BRA,18170120,18250825,Montevideo,-34.88,-56.17
UPR_1810,18100525,18160709,Buenos Aires,-34.60,-58.38
UPR_1776_SPA,17760801,18100525,Buenos Aires,-34.60,-58.38
PAR_1811,18110514,20261231,Asuncion,-25.27,-57.67
ARG_1816,18160709,20261231,Buenos Aires,-34.60,-58.38
FLK_1833_UK,18330103,20261231,Stanley,-51.70,-57.85
BOL_1825,18980101,20261231,La Paz,-16.50,-68.13
BOL_1825,18250806,20261231,Sucre,-19.05,-65.26
CHL_1818,18180212,20261231,Santiago,-33.43,-70.67
CHL_1541_SPA,15410101,18180212,Santiago,-33.43,-70.67
PER_1821,18210728,20261231,Lima,-12.04,-77.03
PER_1542_SPA,15421120,18210728,Lima,-12.04,-77.03
ECU_1822,18220524,20261231,Quito,-0.22,-78.51
COL_1819,18630508,20261231,Bogota,4.58,-74.07
COL_1819,18191217,18630508,Santafé de Bogota,4.58,-74.07
COL_1717_SPA,17170527,18191217,Santafé de Bogota,4.58,-74.07
VEN_1811,18110705,20261231,Caracas,10.51,-66.91
GUY_1966,19660526,20261231,Georgetown,6.80,-58.16
GUI_1831_UK,18310721,19660526,Georgetown,6.80,-58.16
SUR_1975,19751125,20261231,Paramaribo,5.83,-55.17
SUR_1954_NET,19541215,19751125,Paramaribo,5.83,-55.17
GUI_1667_NET,16670731,19541215,Paramaribo,5.83,-55.17
FGU_1643_FRA,16430926,20261231,Cayenne,4.94,-52.33
