Polity,Name,Begin,End
BRA_1822,Empire of Brazil,18220907,20261231
BRA_1815,Brazil,18151216,18220907
BRA_1549_POR,Colonial Brazil,15490101,18151216
URU_1825,Uruguay,18250825,20261231
URU_1817_BRA,Cisplatina,18170120,18250825
UPR_1810,United Provinces of the Rio de la Plata,18100525,18160709
UPR_1776_SPA,Viceroyalty of the Rio de la Plata,17760801,18100525
PAR_1811,Paraguay,18110514,20261231
ARG_1816,Argentina,18160709,20261231
FLK_1833_UK,Falkland Is.,18330103,20261231
BOL_1825,Bolivia,18250806,20261231
CHL_1818,Chile,18180212,20261231
CHL_1541_SPA,Captinacy General of Chile,15410101,18180212
PER_1821,Peru,18210728,20261231
PER_1542_SPA,Viceroyalty of Peru,15421120,18210728
ECU_1822,Ecuador,18220524,20261231
COL_1819,Colombia,18191217,20261231
COL_1717_SPA,New Granada,17170527,18191217
VEN_1811,Venezuela,18110705,20261231
GUY_1966,Guyana,19660526,20261231
GUI_1831_UK,British Guiana,18310721,19660526
SUR_1975,Suriname,19751125,20261231
SUR_1954_NET,Suriname,19541215,19751125
GUI_1667_NET,Dutch Surinam,16670731,19541215
FGU_1643_FRA,French Guiana,16430926,20261231
