ID,Begin,End,File
BRA_1822,18220907,20261231,ModernBrazil
BRA_1815,18151216,18220907,ModernBrazil
BRA_1549_POR,15490101,18151216,ModernBrazil
URU_1825,18250825,20261231,ModernUruguay
URU_1817_BRA,18170120,18250825,ModernUruguay
UPR_1810,18110514,18160709,Ar2Bo2Uru
UPR_1810,18100525,18110514,Ar2Bo2ParUru
UPR_1776_SPA,17760801,18100525,Ar2Bo2ParUru
PAR_1811,18110514,20261231,ModernParaguay
ARG_1816,18830101,20261231,ModernArgentina
ARG_1816,18250806,18830101,RumpArgentina
ARG_1816,18170120,18250806,Ar2Bo2
ARG_1816,18160709,18170120,Ar2Bo2Uru
FLK_1833_UK,18330103,20261231,Falklands
BOL_1825,18830101,20261231,ModernBolivia
BOL_1825,18250806,18830101,SeaBolivia
CHL_1818,18830101,20261231,ModernChile
CHL_1818,18180212,18830101,RumpChile
CHL_1541_SPA,15410101,18180212,RumpChile
PER_1821,18210728,20261231,ModernPeru
PER_1542_SPA,17760801,18210728,ModernPeru
PER_1542_SPA,17170527,17760801,Ar2Bo2PerParUru
PER_1542_SPA,15421120,17170527,VicePeru
ECU_1830,18300503,20261231,ModernEcuador
COL_1819,19031106,20261231,ModernColombia
COL_1819,18300503,19031106,ColombiaPanama
COL_1819,18300113,18300503,ColEcuPan
COL_1819,18191217,18300113,GranColombia
COL_1717_SPA,17170527,18191217,GranColombia
VEN_1830,18300113,20261231,ModernVenezuela
GUY_1966,19660526,20261231,ModernGuyana
GUI_1831_UK,18310721,19660526,ModernGuyana
SUR_1975,19751125,20261231,ModernSuriname
SUR_1954_NET,19541215,19751125,ModernSuriname
GUI_1667_NET,18310721,19541215,ModernSuriname
GUI_1667_NET,16670731,18310721,SurinameGuyana
FGU_1643_FRA,16430926,20261231,FrenchGuiana
