ID,Begin,End,Capital,Lat,Lon
DJI_1977,19770627,20261231,Djibouti,11.6,43.16666667
DJI_1862_FRA,19670705,19770627,Djibouti,11.6,43.16666667
DJI_1862_FRA,18960520,19670705,Djibouti,11.6,43.16666667
DJI_1862_FRA,18620311,18960520,Obock,11.96666667,43.28333333
SOM_1960,19600626,20261231,Mogadishu,2.039166667,45.34194444
SOL_1884_UK,18840101,19410315,Berbera,10.43555556,45.01638889
SOL_1884_UK,19410315,19600626,Hergeisa,9.561111111,44.06666667
SOM_1950_ITA,19500401,19600701,Mogadishu,2.039166667,45.34194444
SOM_1941_UK,19410225,19500401,Mogadishu,2.039166667,45.34194444
IEA_1936_ITA,19360509,19411127,Addis Ababa,9.03,38.74
SOM_1889_ITA,18890208,19360601,Mogadishu,2.039166667,45.34194444
ERI_1993,19930524,20261231,Asmara,15.33583333,38.94111111
ERI_1952,19520915,19621114,Asmara,15.33583333,38.94111111
ERI_1941_UK,19411127,19520915,Asmara,15.33583333,38.94111111
ERI_1882_ITA,18820705,19360601,Asmara,15.33583333,38.94111111
ETH_1941,19411127,20261231,Addis Ababa,9.03,38.74
ETH_1855,18890101,19360509,Addis Ababa,9.03,38.74
ETH_1855,18810101,18890101,Mekelle,13.49694444,39.47694444
ETH_1855,18550211,18810101,Debre Tabor,11.85,38.01666667
CON_1960,19600815,20261231,Brazzaville,-4.266666667,15.26666667
CON_1958_FRA,19581128,19600815,Brazzaville,-4.266666667,15.26666667
FEA_1910_FRA,19100115,19581128,Brazzaville,-4.266666667,15.26666667
CON_1882_FRA,18821130,19100115,Brazzaville,-4.266666667,15.26666667
GAB_1960,19600817,20261231,Libreville,0.410555556,9.440277778
GAB_1958_FRA,19581128,19600817,Libreville,0.410555556,9.440277778
GAB_1885_FRA,18880101,19100115,Libreville,0.410555556,9.440277778
CAR_1960,19600813,20261231,Bangui,4.373333333,18.56277778
CAR_1958_FRA,19581201,19600813,Bangui,4.373333333,18.56277778
CAR_1903_FRA,19061211,19100115,Bangui,4.373333333,18.56277778
CAR_1903_FRA,19060210,19061211,Fort de Passel,5.024916667,19.25858333
CAR_1903_FRA,19031229,19060210,Abiras,4.135,22.44
CHD_1960,19730406,20261231,N'Djamena,12.10527778,15.04472222
CHD_1960,19600811,19730406,Fort Lamy,12.10527778,15.04472222
CHD_1900_FRA,19000905,19100115,Fort Lamy,12.10527778,15.04472222
CHD_1958_FRA,19581128,19600811,Fort Lamy,12.10527778,15.04472222
CPV_1975,19750705,20261231,Praia,14.918,-23.509
CPV_1462_POR,14620101,19750705,Praia,14.918,-23.509
