ID,Begin,End,Map
DJI_1977,19770627,20261231,Djibouti
DJI_1862_FRA,18960520,19770627,Djibouti
DJI_1862_FRA,18620311,18960520,Obock
SOM_1960,19600701,20261231,BrSomaliaItSomalia
SOM_1960,19600626,19600701,BrSomalia
SOL_1884_UK,18840101,19600626,BrSomalia
SOM_1950_ITA,19500401,19600701,ItSomalia
SOM_1941_UK,19411127,19500401,ItSomalia
IEA_1936_ITA,19410225,19411127,EthiopiaEritrea
IEA_1936_ITA,19360601,19410225,EthiopiaEritreaItSomalia
IEA_1936_ITA,19360509,19360601,Ethiopia
SOM_1889_ITA,18890208,19360601,ItSomalia
ERI_1993,19930524,20261231,Eritrea
ERI_1952,19520915,19621114,Eritrea
ETH_1941,19621114,19930524,EthiopiaEritrea
ERI_1941_UK,19411127,19520915,Eritrea
ERI_1882_ITA,18820705,19360601,Eritrea
ETH_1941,19930524,20261231,Ethiopia
ETH_1941,19411127,19621114,Ethiopia
ETH_1855,18820705,19360509,Ethiopia
ETH_1855,18550211,18820705,EthiopiaEritrea
CON_1960,19600815,20261231,CongoB
CON_1958_FRA,19581128,19600815,CongoB
FEA_1910_FRA,19100115,19581128,CongoBGabonCARChad
CON_1882_FRA,18821130,19100115,CongoB
GAB_1960,19600817,20261231,Gabon
GAB_1958_FRA,19581128,19600817,Gabon
GAB_1885_FRA,18850101,19100115,Gabon
CAR_1960,19600813,20261231,CAR
CAR_1958_FRA,19581201,19600813,CAR
CAR_1903_FRA,19031229,19100115,CAR
CHD_1960,19600811,20261231,Chad
CHD_1900_FRA,19000905,19100115,Chad
CHD_1958_FRA,19581128,19600811,Chad
CPV_1975,19750705,20261231,CapeVerde
CPV_1462_POR,14620101,19750705,CapeVerde
MRT_1960,19601128,20261231,Mauritania
MRT_1958_FRA,19581128,19601128,Mauritania
FWA_1895_FRA,19581211,19581218,Niger
FWA_1895_FRA,19581204,19581211,NigerBurkina
FWA_1895_FRA,19581128,19581204,BenIvcNigBur
FWA_1895_FRA,19581125,19581128,BenIvcMauNigBur
FWA_1895_FRA,19581124,19581125,SenBenIvcMauNigBur
FWA_1895_FRA,19581002,19581124,SenBenMalIvcMauNigBur
FWA_1895_FRA,19190301,19581002,SenBenMalGuiIvcMauNigBur
FWA_1895_FRA,19041016,19190301,SenBenMalGuiIvcMauNig
FWA_1895_FRA,18951027,19041016,SenBenMalGuiIvc
MLF_1960,19600620,19600820,MaliSenegal
SEN_1960,19600820,20261231,Senegal
SEN_1958_FRA,19581125,19600620,Senegal
GAM_1965,19650218,20261231,TheGambia
GAM_1816_UK,18161017,19650218,TheGambia
GUI_1958,19581002,20261231,Guinea
GUI_1891_FRA,18910101,18951027,Guinea
GBS_1974,19740910,20261231,GuineaBissau
GBS_1879_POR,18790101,19740910,GuineaBissau
LIB_1847,18470726,20261231,Liberia
LIB_1822_ACS,18220107,18470726,Liberia
IVC_1960,19600807,20261231,IvoryCoast
IVC_1958_FRA,19581204,19600807,IvoryCoast
IVC_1893_FRA,18930310,18951027,IvoryCoast
GHA_1957,19570306,20261231,RumpGhanaBrTogo
TOG_1960,19600427,20261231,Togo
TOG_1956_FRA,19560910,19600427,Togo
TOG_1884_GER,18840705,19161227,TogoBrTogo
TOG_1916_FRA,19161227,19560910,Togo
SRL_1961,19610427,20261231,SierraLeone
SRL_1808_UK,18080101,19610427,SierraLeone
MAL_1960,19600820,20261231,Mali
MAL_1958_FRA,19581124,19600620,Mali
MAL_1890_FRA,18900818,18951027,Mali
BUR_1960,19600805,20261231,BurkinaFaso
BUR_1958_FRA,19581211,19600805,BurkinaFaso
NGR_1960,19600803,20261231,Niger
NGR_1958_FRA,19581218,19600803,Niger
BEN_1960,19600801,20261231,Benin
BEN_1958_FRA,19581204,19600801,Benin
GHA_1821_UK,18840705,19570306,Ghana
GHA_1821_UK,18210101,18840705,RumpGhana
NGA_1960,19611001,20261231,Nigeria
NGA_1960,19601001,19611001,RumpNigeria
NGA_1914_UK,19140101,19601001,RumpNigeria
